
1,Delphine,136,25440
2,Marlane,151,29040
3,Sayre,191,42050
4,Valli,171,35050
5,Laurena,212,49400
6,Hamil,128,23520
7,Ettie,164,32600
8,Andreas,132,24480
9,Dita,80,14400
10,Euell,99,17820
11,Karina,185,39950
12,Carey,209,48350
13,Haze,88,15840
14,Averil,99,17820
15,Giuditta,121,21840
16,Hans,240,59200
17,Raffaello,84,15120
18,Franky,133,24720
19,Leicester,167,33650
20,Samantha,226,54300
21,Elora,144,27360
22,Binny,84,15120
23,Trudy,198,44500
24,Shae,104,18720
25,Bordy,96,17280
26,Mechelle,120,21600
27,Lucita,210,48700
28,Michele,88,15840
29,Aubry,157,30480
30,Ginnifer,105,18900
31,Pace,132,24480
32,Coral,81,14580
33,Cozmo,167,33650
34,Archibaldo,123,22320
35,Eddy,136,25440
36,Helen-elizabeth,103,18540
37,Hilario,195,43450
38,Helge,176,36800
39,Gardener,222,52900
40,Gustavus,142,26880
41,Anderea,80,14400
42,Demetria,108,19440
43,Corabella,200,45200
44,Agathe,207,47650
45,Egor,83,14940
46,Murvyn,194,43100
47,Morten,95,17100
48,Marlena,233,56750
49,Franzen,83,14940
50,L;urette,195,43450
51,Law,209,48350
52,Stevie,238,58500
53,Taylor,239,58850
54,Olin,138,25920
55,Blondy,195,43450
56,Judas,120,21600
57,Aggy,116,20880
58,Brendin,176,36800
59,Joceline,142,26880
60,Cymbre,221,52550
61,Barbabra,229,55350
62,Rowan,110,19800
63,Hedda,198,44500
64,Nev,226,54300
65,Sam,233,56750
66,Morganne,194,43100
67,Deidre,95,17100
68,Laureen,143,27120
69,Crissy,195,43450
70,Wilone,102,18360
71,Milzie,92,16560
72,Dorisa,100,18000
73,Judie,152,29280
74,Lucas,182,38900
75,Kellen,206,47300
76,Ferdinande,175,36450
77,Kilian,174,36100
78,Bret,161,31550
79,Luca,164,32600
80,Cathe,146,27840
81,Zebedee,97,17460
82,Ediva,132,24480
83,Spence,144,27360
84,Jo ann,131,24240
85,Benetta,111,19980
86,Papageno,96,17280
87,Belvia,127,23280
88,Lynnett,140,26400
89,Launce,99,17820
90,Dougie,214,50100
91,Jamaal,144,27360
92,Alverta,155,30000
93,Marcelia,187,40650
94,Grace,131,24240
95,Kathi,189,41350
96,Raoul,197,44150
97,Bria,165,32950
98,Currey,202,45900
99,Daphene,142,26880
100,Will,130,24000
101,Nicko,94,16920
102,Bruce,83,14940
103,Brit,210,48700
104,Hyacinthe,106,19080
105,Andras,140,26400
106,Samara,221,52550
107,Germaine,86,15480
108,Demott,196,43800
109,Odo,228,55000
110,Chrotoem,116,20880
111,Hadleigh,110,19800
112,Adoree,193,42750
113,Whittaker,232,56400
114,Leodora,113,20340
115,Louisette,95,17100
116,Merna,99,17820
117,Sydel,187,40650
118,Jennine,229,55350
119,Tabbie,185,39950
120,June,202,45900
121,Pembroke,106,19080
122,Suzette,135,25200
123,Joete,192,42400
124,Adriena,200,45200
125,Lana,178,37500
126,Lyn,105,18900
127,Dulce,144,27360
128,North,220,52200
129,Bette,147,28080
130,Emmi,226,54300
131,Meier,152,29280
132,Joelly,195,43450
133,Marv,106,19080
134,Jasen,210,48700
135,Merilee,206,47300
136,Ollie,122,22080
137,Sherwood,189,41350
138,Gilligan,123,22320
139,Bibbie,217,51150
140,Mag,150,28800
141,Lettie,167,33650
142,Yelena,107,19260
143,Dorie,166,33300
144,Wyndham,135,25200
145,Gwenette,142,26880
146,Benita,132,24480
147,Patience,100,18000
148,Caryl,224,53600
149,Edlin,162,31900
150,Blake,162,31900
151,Durant,91,16380
152,Janene,216,50800
153,Krissy,171,35050
154,Monica,235,57450
155,Janessa,194,43100
156,Herb,81,14580
157,Fred,112,20160
158,Odille,175,36450
159,Annissa,133,24720
160,Electra,202,45900
161,Brigit,166,33300
162,Martyn,174,36100
163,Bari,230,55700
164,Ralph,88,15840
165,Katheryn,223,53250
166,Norma,107,19260
167,Sayer,168,34000
168,Alix,105,18900
169,Laurie,86,15480
170,Isa,165,32950
171,Humbert,239,58850
172,Emmy,80,14400
173,Redford,127,23280
174,Sabina,166,33300
175,Lemar,123,22320
176,Ranice,104,18720
177,Robyn,103,18540
178,Rosalinda,114,20520
179,Gordon,109,19620
180,Shanda,154,29760
181,Alvan,169,34350
182,Rae,99,17820
183,Elfrida,239,58850
184,Vinny,118,21240
185,Meredith,184,39600
186,Eadmund,186,40300
187,Cazzie,222,52900
188,Colman,105,18900
189,Jojo,98,17640
190,Ives,200,45200
191,Brett,142,26880
192,Tedie,171,35050
193,Otho,107,19260
194,Ritchie,153,29520
195,Eddy,94,16920
196,Kat,131,24240
197,Dorise,217,51150
198,Alyss,80,14400
199,Lorelei,191,42050
200,Pasquale,240,59200
201,Yvonne,190,41700
202,Kilian,152,29280
203,Kacie,85,15300
204,Rube,144,27360
205,Elita,95,17100
206,Tana,114,20520
207,Pansie,118,21240
208,Iormina,131,24240
209,Juliet,199,44850
210,Ida,207,47650
211,Romona,216,50800
212,Beaufort,218,51500
213,Bern,155,30000
214,Joana,205,46950
215,Shay,201,45550
216,Ximenez,170,34700
217,Sydel,228,55000
218,Ethelda,124,22560
219,Cyrus,225,53950
220,Gerardo,168,34000
221,Barnabas,159,30960
222,Winona,175,36450
223,Hanni,209,48350
224,Lilah,166,33300
225,Tallou,194,43100
226,Riki,138,25920
227,Krystle,147,28080
228,Tracy,177,37150
229,Estella,124,22560
230,Nessy,158,30720
231,Maighdiln,236,57800
232,Hadleigh,158,30720
233,Amalita,186,40300
234,Jordan,190,41700
235,Claudius,146,27840
236,Bonni,135,25200
237,Rhetta,98,17640
238,Allister,90,16200
239,Chariot,224,53600
240,Wolfgang,204,46600
241,Bibbye,144,27360
242,Marje,168,34000
243,Conway,158,30720
244,Jenn,92,16560
245,Berty,194,43100
246,Edwin,228,55000
247,Theodoric,187,40650
248,Eirena,128,23520
249,Michele,181,38550
250,Scotti,211,49050
251,Teodora,153,29520
252,Tersina,105,18900
253,Elisha,142,26880
254,Babb,181,38550
255,Raleigh,130,24000
256,Earvin,211,49050
257,Philippe,165,32950
258,Eran,186,40300
259,Casey,153,29520
260,Celestyn,224,53600
261,Lauritz,116,20880
262,Obie,162,31900
263,Rhona,226,54300
264,Norbert,175,36450
265,Yank,94,16920
266,Rafaelita,113,20340
267,Sig,83,14940
268,Anastasia,98,17640
269,Jonah,222,52900
270,Morgen,213,49750
271,Gwenore,240,59200
272,Marven,96,17280
273,Jasmine,213,49750
274,Kassia,195,43450
275,Fidelity,227,54650
276,Leslie,230,55700
277,Brooks,83,14940
278,Julio,219,51850
279,Ezri,238,58500
280,Rana,130,24000
281,Ettore,191,42050
282,Felice,203,46250
283,Georgena,156,30240
284,Alli,192,42400
285,Demott,236,57800
286,Augustus,225,53950
287,Madelaine,168,34000
288,Nicola,135,25200
289,Bearnard,120,21600
290,Hannis,147,28080
291,Loise,170,34700
292,Walker,84,15120
293,Kissiah,136,25440
294,Ronna,210,48700
295,Shirline,103,18540
296,Florella,146,27840
297,Wyn,207,47650
298,Rosabella,104,18720
299,Rodi,235,57450
300,Vasilis,214,50100
301,Roseanne,94,16920
302,Archibaldo,230,55700
303,Pamella,80,14400
304,Bonnibelle,167,33650
305,Wesley,80,14400
306,Carin,167,33650
307,Derril,102,18360
308,Land,197,44150
309,Angele,213,49750
310,Katrina,158,30720
311,Marcella,162,31900
312,Petronia,146,27840
313,Sloan,135,25200
314,Louie,212,49400
315,Sandro,216,50800
316,Alyse,214,50100
317,Boris,148,28320
318,Rikki,221,52550
319,Johannah,218,51500
320,Valle,150,28800
321,Lelia,150,28800
322,Saree,201,45550
323,Orelie,222,52900
324,Netta,92,16560
325,Henry,212,49400
326,Gaven,199,44850
327,Veronica,85,15300
328,Betti,108,19440
329,Amelie,179,37850
330,Forbes,155,30000
331,Teddy,231,56050
332,Leta,112,20160
333,Abner,119,21420
334,Reta,172,35400
335,Caprice,221,52550
336,Harris,117,21060
337,Curran,227,54650
338,Chev,167,33650
339,Ally,141,26640
340,Alisander,115,20700
341,Stearne,147,28080
342,Hunter,146,27840
343,Aubree,220,52200
344,Allin,197,44150
345,Donalt,152,29280
346,Dannie,166,33300
347,Delano,116,20880
348,Fee,114,20520
349,Sigismund,220,52200
350,Sandy,178,37500
351,Helena,126,23040
352,Rocky,115,20700
353,Ray,112,20160
354,Eyde,106,19080
355,Terry,137,25680
356,Ardra,163,32250
357,Melicent,218,51500
358,Dorie,204,46600
359,Nollie,97,17460
360,Dilan,104,18720
361,Myrtle,228,55000
362,Arabel,217,51150
363,Christos,94,16920
364,Leticia,131,24240
365,Veronika,226,54300
366,Blithe,199,44850
367,Chad,100,18000
368,Leonanie,206,47300
369,Doralin,227,54650
370,Pen,96,17280
371,Nadiya,155,30000
372,Arabela,100,18000
373,Kerrie,168,34000
374,Colver,227,54650
375,Taddeusz,139,26160
376,Chic,151,29040
377,Dorisa,223,53250
378,Mirelle,232,56400
379,Channa,144,27360
380,Wandis,183,39250
381,Rebeka,114,20520
382,Gran,198,44500
383,Audi,137,25680
384,Tessy,177,37150
385,Ignacius,216,50800
386,Manuel,104,18720
387,Kerk,193,42750
388,Maxwell,227,54650
389,Carmelle,165,32950
390,Galvin,92,16560
391,Courtney,222,52900
392,Karney,132,24480
393,Tris,190,41700
394,Andie,165,32950
395,Tasia,105,18900
396,Aryn,218,51500
397,Ninetta,212,49400
398,Vick,109,19620
399,Laurice,216,50800
400,Junette,93,16740
401,Cherin,210,48700
402,Phillis,148,28320
403,Kyla,157,30480
404,Carmina,178,37500
405,El,125,22800
406,Janetta,116,20880
407,Guillema,166,33300
408,Sara,235,57450
409,Marcella,207,47650
410,Beaufort,136,25440
411,Torre,87,15660
412,Cammy,127,23280
413,Brose,233,56750
414,Stepha,148,28320
415,Margalit,200,45200
416,Duffie,94,16920
417,Rowe,208,48000
418,Demetri,107,19260
419,Packston,226,54300
420,Madison,108,19440
421,Tiphani,164,32600
422,Wendall,188,41000
423,Tiphany,180,38200
424,Sharleen,206,47300
425,Virgina,166,33300
426,Trevor,202,45900
427,Lynea,233,56750
428,Tarra,121,21840
429,Liam,127,23280
430,Ania,129,23760
431,Arlan,82,14760
432,Kiri,156,30240
433,Ferdinanda,227,54650
434,Melisande,190,41700
435,Donelle,120,21600
436,Ignace,181,38550
437,Josh,127,23280
438,Kevyn,238,58500
439,Benny,233,56750
440,Walton,134,24960
441,Josias,172,35400
442,Fiorenze,225,53950
443,Pierson,152,29280
444,Romonda,146,27840
445,Abraham,141,26640
446,Zelda,108,19440
447,Cointon,180,38200
448,Leonid,125,22800
449,Gal,194,43100
450,Andrei,152,29280
451,Melamie,114,20520
452,Farrand,142,26880
453,Alfy,207,47650
454,Simonne,151,29040
455,Chauncey,87,15660
456,Austina,224,53600
457,Goldia,239,58850
458,Osborne,163,32250
459,Ertha,115,20700
460,Francine,170,34700
461,Hill,108,19440
462,Charmaine,232,56400
463,Eimile,90,16200
464,Theo,113,20340
465,Dimitri,203,46250
466,Seamus,132,24480
467,Dido,191,42050
468,Gerladina,117,21060
469,Des,177,37150
470,Horace,120,21600
471,Calida,138,25920
472,Murielle,224,53600
473,Rosamund,147,28080
474,Sorcha,93,16740
475,Shandee,102,18360
476,Tildi,206,47300
477,Oren,135,25200
478,Chrysler,100,18000
479,Rolando,159,30960
480,Renell,133,24720
481,Brigitte,203,46250
482,Lu,210,48700
483,Simonette,132,24480
484,Rockey,189,41350
485,Hertha,148,28320
486,Tarrah,82,14760
487,Mikey,233,56750
488,Carlin,157,30480
489,Filmer,131,24240
490,Leigh,126,23040
491,Amil,145,27600
492,Earlie,104,18720
493,Gianna,144,27360
494,Bentley,109,19620
495,Horatia,106,19080
496,Rosamund,101,18180
497,Jeralee,134,24960
498,Alec,170,34700
499,Bary,191,42050
500,Bev,194,43100
501,Shauna,176,36800
502,Del,105,18900
503,Anthiathia,91,16380
504,Brandie,180,38200
505,Hollyanne,120,21600
506,Rowen,104,18720
507,Juli,192,42400
508,Ardra,207,47650
509,Elton,173,35750
510,Elmira,216,50800
511,Nara,179,37850
512,Wallas,228,55000
513,Scotty,223,53250
514,Tabb,171,35050
515,Yancey,209,48350
516,Homer,209,48350
517,Abbe,166,33300
518,Goran,136,25440
519,Tally,167,33650
520,Katinka,178,37500
521,Sigfrid,109,19620
522,Grantham,141,26640
523,Briano,146,27840
524,Ronica,186,40300
525,Emlen,227,54650
526,Annabel,215,50450
527,Waldo,215,50450
528,Cad,157,30480
529,Karlen,200,45200
530,Minni,110,19800
531,Nananne,156,30240
532,Gary,136,25440
533,Jefferey,153,29520
534,Marlo,223,53250
535,Franny,123,22320
536,Danell,145,27600
537,Elysha,149,28560
538,Claudius,106,19080
539,Dilly,178,37500
540,Dyan,91,16380
541,Perry,188,41000
542,Pace,233,56750
543,Dalila,127,23280
544,Skipp,235,57450
545,Gal,229,55350
546,Sigismund,106,19080
547,Derick,223,53250
548,Florenza,225,53950
549,Egbert,236,57800
550,Arliene,198,44500
551,Caren,179,37850
552,Ginger,84,15120
553,Morgan,127,23280
554,Angeli,109,19620
555,Wallache,100,18000
556,Alexandrina,206,47300
557,Mirabella,183,39250
558,Gamaliel,180,38200
559,Karisa,102,18360
560,Walker,191,42050
561,Art,186,40300
562,Juanita,139,26160
563,Lynsey,151,29040
564,Decca,202,45900
565,Margie,225,53950
566,Nils,137,25680
567,Ryan,169,34350
568,Quintina,113,20340
569,Karlik,122,22080
570,Care,204,46600
571,Athena,191,42050
572,Ansell,209,48350
573,Dugald,113,20340
574,Laraine,166,33300
575,Reggis,216,50800
576,Robert,101,18180
577,Cassi,209,48350
578,Kelly,184,39600
579,Efrem,154,29760
580,Gibb,161,31550
581,Cash,228,55000
582,Lew,157,30480
583,Ros,127,23280
584,Maximo,177,37150
585,Lynn,206,47300
586,Waring,131,24240
587,Zuzana,214,50100
588,Lombard,110,19800
589,Laurena,156,30240
590,Gwynne,116,20880
591,Carlie,206,47300
592,Darbie,145,27600
593,Fleurette,181,38550
594,Leilah,127,23280
595,Newton,111,19980
596,Esra,168,34000
597,Laurice,119,21420
598,Neala,218,51500
599,Archibald,100,18000
600,Meghan,187,40650
601,Gregoor,200,45200
602,Cassandry,120,21600
603,Rahel,223,53250
604,Chiquita,90,16200
605,Casey,221,52550
606,Georgina,159,30960
607,Axe,90,16200
608,Marline,236,57800
609,Matty,152,29280
610,Josias,114,20520
611,Ag,200,45200
612,Dannie,94,16920
613,Gusty,95,17100
614,Abraham,210,48700
615,Bernadette,212,49400
616,Farra,191,42050
617,Miner,113,20340
618,Layton,211,49050
619,Roderigo,215,50450
620,Karrie,150,28800
621,Eirena,85,15300
622,Tracee,80,14400
623,Normand,157,30480
624,Joan,226,54300
625,Evangeline,177,37150
626,Kristian,103,18540
627,Junina,192,42400
628,Thom,221,52550
629,Margy,215,50450
630,Thorn,117,21060
631,Jamie,130,24000
632,Flss,219,51850
633,Ad,141,26640
634,Jeanie,183,39250
635,Luigi,236,57800
636,Kory,206,47300
637,Chloette,146,27840
638,Dorolisa,107,19260
639,Thain,222,52900
640,Manya,189,41350
641,Otto,188,41000
642,Raynard,126,23040
643,Giulio,150,28800
644,Lambert,234,57100
645,Terese,107,19260
646,Nannette,146,27840
647,Reuben,203,46250
648,Biron,81,14580
649,Lynnette,207,47650
650,Irv,225,53950
651,Hammad,115,20700
652,Cilka,238,58500
653,Killian,86,15480
654,Bent,149,28560
655,Skippy,96,17280
656,Nil,117,21060
657,Jake,99,17820
658,Jordan,232,56400
659,Ange,99,17820
660,Yardley,127,23280
661,Rhonda,185,39950
662,Lisle,151,29040
663,Durand,125,22800
664,Nickie,163,32250
665,Louisa,224,53600
666,Alyssa,173,35750
667,Harman,112,20160
668,Annemarie,240,59200
669,Aryn,127,23280
670,Daniela,178,37500
671,Jania,191,42050
672,Mirabella,202,45900
673,Ashly,135,25200
674,Blake,199,44850
675,Kaycee,185,39950
676,Murray,146,27840
677,Aloin,110,19800
678,Carroll,203,46250
679,Randy,221,52550
680,Joyann,198,44500
681,Yale,202,45900
682,Abraham,220,52200
683,Othella,207,47650
684,Alanna,238,58500
685,Clevey,102,18360
686,Darb,201,45550
687,Eugenie,164,32600
688,Brunhilde,80,14400
689,Bernardine,166,33300
690,Pasquale,201,45550
691,Clarinda,95,17100
692,Elwyn,155,30000
693,Megan,207,47650
694,Chrisse,99,17820
695,Gennie,176,36800
696,Emmalee,216,50800
697,Adria,184,39600
698,Bliss,96,17280
699,Issy,132,24480
700,Phillida,203,46250
701,Hagen,104,18720
702,Jaine,135,25200
703,Bette,219,51850
704,Issy,222,52900
705,Bernardina,156,30240
706,Tate,185,39950
707,Madelon,171,35050
708,Amie,146,27840
709,Ninette,167,33650
710,Anneliese,80,14400
711,Rosanne,203,46250
712,Genvieve,151,29040
713,Noam,201,45550
714,Gracie,213,49750
715,Gunter,136,25440
716,Silvanus,125,22800
717,Johnath,168,34000
718,Clotilda,225,53950
719,Yvonne,126,23040
720,Colleen,169,34350
721,Avril,198,44500
722,Zechariah,155,30000
723,Angeli,155,30000
724,Cammy,87,15660
725,Donella,169,34350
726,Leone,240,59200
727,Rey,168,34000
728,Angel,151,29040
729,Ches,166,33300
730,Haley,122,22080
731,Vittoria,155,30000
732,Gratiana,128,23520
733,Randi,106,19080
734,Jodi,81,14580
735,Rosabella,198,44500
736,Lev,156,30240
737,Jennette,141,26640
738,Lin,234,57100
739,Maisie,159,30960
740,Georgi,109,19620
741,Obidiah,199,44850
742,Algernon,229,55350
743,Aurelia,133,24720
744,Elbertina,189,41350
745,Liana,93,16740
746,Babbie,226,54300
747,Hamlin,162,31900
748,Deana,218,51500
749,Lita,141,26640
750,Merrili,180,38200
751,Pammy,221,52550
752,Jenda,136,25440
753,Belva,182,38900
754,Madelon,234,57100
755,Homerus,210,48700
756,Luther,174,36100
757,Lulu,115,20700
758,Read,91,16380
759,Filmore,86,15480
760,Herrick,122,22080
761,Dolph,103,18540
762,Tedi,228,55000
763,Rosanna,139,26160
764,Jo,102,18360
765,Brandea,156,30240
766,Brice,237,58150
767,Penny,163,32250
768,Janela,102,18360
769,Karyn,155,30000
770,Dalia,120,21600
771,Lizette,143,27120
772,Cacilia,154,29760
773,Ezequiel,150,28800
774,Corey,89,16020
775,Aurelea,229,55350
776,Joshia,220,52200
777,Karoly,212,49400
778,Gary,145,27600
779,Shelley,146,27840
780,Peirce,232,56400
781,Alis,155,30000
782,Marlowe,96,17280
783,Melisenda,105,18900
784,Gib,235,57450
785,Henry,215,50450
786,Ly,85,15300
787,Arlan,173,35750
788,Aleksandr,164,32600
789,Janina,152,29280
790,Yank,192,42400
791,Molli,81,14580
792,Shayna,224,53600
793,Roberto,207,47650
794,Pail,161,31550
795,Montgomery,157,30480
796,Brittne,114,20520
797,Fayth,221,52550
798,Vin,169,34350
799,Rhea,82,14760
800,Armando,216,50800
801,Hedvig,238,58500
802,Bili,152,29280
803,Lindsy,123,22320
804,Bartie,92,16560
805,Colver,203,46250
806,Brooks,185,39950
807,Glynn,172,35400
808,Gerardo,126,23040
809,Blaire,181,38550
810,Rees,206,47300
811,Eleanor,207,47650
812,Wilhelmine,148,28320
813,Gaelan,154,29760
814,Freddy,125,22800
815,Gwenny,208,48000
816,Wynnie,104,18720
817,Basilio,181,38550
818,Harland,131,24240
819,Esma,223,53250
820,Boothe,221,52550
821,Aleta,209,48350
822,Manon,160,31200
823,Sergeant,210,48700
824,Cordy,94,16920
825,Michail,135,25200
826,Aime,178,37500
827,Stanford,234,57100
828,Euell,134,24960
829,Gibb,152,29280
830,Natividad,88,15840
831,Shane,181,38550
832,Barbra,219,51850
833,Courtney,121,21840
834,Doug,209,48350
835,Alfons,167,33650
836,Bertine,95,17100
837,Winnie,224,53600
838,Ibrahim,212,49400
839,Forester,143,27120
840,Evelyn,226,54300
841,Juliann,102,18360
842,Sarah,90,16200
843,Berkly,108,19440
844,Stormy,208,48000
845,Harrie,129,23760
846,Cosmo,179,37850
847,Noe,97,17460
848,Giulio,96,17280
849,Quinn,176,36800
850,Frankie,117,21060
851,Parke,115,20700
852,Tamara,113,20340
853,Colas,99,17820
854,Karry,182,38900
855,Al,205,46950
856,Gilli,209,48350
857,Monah,160,31200
858,Brietta,172,35400
859,Chase,193,42750
860,Claribel,142,26880
861,Anthia,108,19440
862,Ray,233,56750
863,Jaclin,238,58500
864,Kathrine,204,46600
865,Drew,188,41000
866,Fidel,146,27840
867,Hansiain,116,20880
868,Hoyt,171,35050
869,Benni,84,15120
870,Frieda,226,54300
871,Tonie,146,27840
872,Tressa,159,30960
873,Murray,178,37500
874,Brett,192,42400
875,Ruby,225,53950
876,Maggi,220,52200
877,Marcos,238,58500
878,Cherye,179,37850
879,Tressa,162,31900
880,Mortimer,105,18900
881,Nettle,181,38550
882,Jesus,171,35050
883,Gay,158,30720
884,Arabelle,204,46600
885,Pablo,240,59200
886,Amelita,208,48000
887,Amil,123,22320
888,Shay,86,15480
889,Constantin,178,37500
890,Isidoro,158,30720
891,Philip,239,58850
892,Horst,205,46950
893,Jamal,237,58150
894,Tedda,188,41000
895,Winnie,182,38900
896,Haze,153,29520
897,Isadora,205,46950
898,Sidoney,158,30720
899,Yuri,82,14760
900,Spike,186,40300
901,Lorry,126,23040
902,Richmound,123,22320
903,Constancia,194,43100
904,Meghann,96,17280
905,Trude,136,25440
906,Reinald,102,18360
907,Cheston,181,38550
908,Godfry,196,43800
909,Edik,108,19440
910,Mortie,114,20520
911,Dun,132,24480
